REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ACCESS,WB_BPS_ONLINE_SALES,WB_BPS_RCV_POLICY,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
VNM,Viet Nam,2021-01,2021-01-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,38.56,-12.33,48.91,-21.96,7.4,8.14,5.15,5.81,6.39,65.29,46.04,4.31,12.9566666666667,8.47,,,,,,,,-0.0786275134668287,12.33,-0.910896051948945,-0.105690596500014,34.48
VNM,Viet Nam,2020-06,2020-06-01,WB_BPS_SECTOR_OS,Sector: Other Services,60.62,-40.71,83.04,-31.52,28.45,22.04,21,22.18,15.2,54.95,20.25,1.67,6.2375,,,,,,,,,0.0543385502972172,40.71,0.340712253106102,,
VNM,Viet Nam,2020-10,2020-10-01,WB_BPS_SECTOR_OS,Sector: Other Services,58.24,-35.6,73.25,-35.34,11.82,9.88,9.96,18.72,7.5,77.31,32.95,3.43,7.17,,,92.76,27.19,55.04,27.02,39.55,48.312,0.171315865035777,35.6,-0.178714030024102,0.0543385502972172,20.25
VNM,Viet Nam,2021-01,2021-01-01,WB_BPS_SECTOR_OS,Sector: Other Services,60.18,-26.04,64.82,-21.54,11.73,11.66,5.78,7.75,7.73,80.27,49.29,9.21,14.21,11.59,,,,,,,,0.313270844821067,26.04,-0.468891035808261,0.171315865035777,32.95
VNM,Viet Nam,2020-06,2020-06-01,WB_BPS_SECTOR_RET,Sector: Retail,35.93,-35.25,78.43,-24.29,18.89,10.75,25.78,17.77,10.35,45.1,18.18,4.36,9.20333333333333,,,,,,,,,-0.231577752815434,35.25,-0.133509633569618,,
VNM,Viet Nam,2020-10,2020-10-01,WB_BPS_SECTOR_RET,Sector: Retail,35.87,-24.56,57.49,-29.15,3.51,12.49,8.89,3.12,9.43,70.08,24.79,5.43,5.5575,,,94.58,21.06,62.75,34.56,28.64,48.318,0.17821870553405,24.56,-0.729884091240141,-0.231577752815434,18.18
VNM,Viet Nam,2021-01,2021-01-01,WB_BPS_SECTOR_RET,Sector: Retail,42.69,-13.53,47.41,-21.98,0.39,5.9,4.59,7.21,6,76.01,34.84,11.06,15.39,13.88,,,,,,,,0.219290739614856,13.53,-0.914647369567754,0.17821870553405,24.79
XKX,Kosovo,2020-07,2020-07-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,52.06,-54.32,91.8,-9.82,40.21,10.38,14.95,10.12,1.16,24.75,66.69,3.54,14.79,,,,,,,,,-0.929105126871895,54.32,0.247289416265373,,
XKX,Kosovo,2021-07,2021-07-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,27.22,-13.8,53.07,14.28,,4.56,,,0.75,48.16,82.5,,21.045,8.16,31.39,,,,,,,-0.376035546937051,13.8,-0.927052556285722,-0.929105126871895,66.69
XKX,Kosovo,2020-07,2020-07-01,WB_BPS_SECTOR_OS,Sector: Other Services,58.28,-64.43,92.57,-16.64,37.16,6.93,10.8,8.2,3.38,23.52,66.94,4.26,14.75,,,,,,,,,-0.843998787625998,64.43,0.262230324974201,,
