REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_ONLINE_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
LKA,Sri Lanka,2020-05,2020-05-01,TOTAL,Total,,69,-74.25,92.56,,,57.2,3.8,26.6,25.8,,,,,,,,,,,,,74.25,0.78034838713959,,
LKA,Sri Lanka,2021-06,2021-06-01,TOTAL,Total,21.74,45.81,-61.84,91.96,-20.24,,,3.09,,,4.975,,20.48,26.45,33.46,,,,,,,,61.84,0.124279994619856,,
MDG,Madagascar,2020-06,2020-06-01,TOTAL,Total,7.79,,-57.45,93.69,-29.46,,9.13,26,70.14,20.31,2.024,2.58,19.32,,,,,,,,,-1.14024043602584,57.45,0.760074082161317,,
MDG,Madagascar,2021-01,2021-01-01,TOTAL,Total,38.6,,-44.19,81.91,,,3.37,3.79,8.08,,9.33,,10.95,,,99.25,5.91,,53.04,1.54,39.935,-1.06169293207857,44.19,-0.510679950550314,-1.14024043602584,7.79
MEX,Mexico,2020-05,2020-05-01,TOTAL,Total,6.96,,,85.12,,,,14.32,,17.81,1.54,11.67,,,,,,,,,,,,0.138819575450743,,
MLI,Mali,2020-06,2020-06-01,TOTAL,Total,,,,,23.01,,,,,,,7.27,,,,,,,,,,,,,,
MWI,Malawi,2020-11,2020-11-01,TOTAL,Total,27.07,38.39,-36.84,85.56,23.5,18.42,4.47,5.71,3.5,3.39,,2.59,39.79,,,,,,,,,-0.415110407112619,36.84,-0.584516214278198,,
MYS,Malaysia,2020-10,2020-10-01,TOTAL,Total,91.27,59.32,-8.27,39.35,,36.77,55.25,40.68,61.83,53.62,48.6875,29.1,56.84,,,75.9,55.11,73.57,63.14,50.3,63.604,1.58035757025436,8.27,0.734727053464297,,
MYS,Malaysia,2021-07,2021-07-01,TOTAL,Total,86.37,57.43,-20.65,55.17,,32.78,54.23,33.29,58.49,50.51,50.4266666666667,42.58,56.03,72.49,49.54,,,,,,,2.13323694570255,20.65,0.996025700225312,1.58035757025436,91.27
NGA,Nigeria,2020-08,2020-08-01,TOTAL,Total,,48.17,-46.56,88.57,15.95,,,20.77,52.21,42.95,3.55666666666667,11.88,37.08,,,,,,,,,-0.0321585853070132,46.56,0.831403544529193,,
NPL,Nepal,2020-06,2020-06-01,TOTAL,Total,2.38,82.94,-64.53,88,-27.55,4.07,47.02,4.17,28.97,17.06,0.993333333333333,7.23,19.26,,,,,,,,,-0.91709475255331,64.53,0.624641201911778,,
NPL,Nepal,2021-06,2021-06-01,TOTAL,Total,9.14,72.06,-63.86,88.97,-9.68,,,6.79,,,2.2225,10.16,29.74,40.03,34.02,,,,,,,-0.338952779172183,63.86,0.534340272343799,-0.91709475255331,2.38
PAK,Pakistan,2020-07,2020-07-01,TOTAL,Total,11.52,54.29,-52.19,78.3,,28.81,23.08,16.54,26.05,8.39,1.966,,45.6,,,,,,,,,0.396218067691562,52.19,0.101655755835358,,
PAK,Pakistan,2021-01,2021-01-01,TOTAL,Total,20.16,47.47,-35.28,71.85,6.6,21.69,14.74,12.8,10.77,3.5,3.1025,8.06,59.58,,,,,,,,,0.262078096359123,35.28,-0.414470877718871,0.396218067691562,11.52
PAK,Pakistan,2021-07,2021-07-01,TOTAL,Total,20.69,38.16,-35.92,68.72,8.5,,17.81,16.5,12.94,5.72,3.97333333333333,8.82,61.27,27.66,53.97,,,,,,,0.357603057523165,35.92,-0.168596339485001,0.262078096359123,20.16
PHL,Philippines,2020-07,2020-07-01,TOTAL,Total,24.43,,-58.24,92.43,,,,,,,6.1075,13.97,26.17,,,,,,,,,-0.157413151510747,58.24,,,
PHL,Philippines,2020-12,2020-12-01,TOTAL,Total,16.73,78.18,-55.56,88.14,,,39.37,43.26,52.23,40.53,2.176,,54.57,,,,,,,,,,55.56,1.37301117126076,-0.157413151510747,24.43
PHL,Philippines,2021-05,2021-05-01,TOTAL,Total,23.48,78.59,-55.78,90.44,-5.36,,35.91,36.13,40.09,36.35,,11.96,61.64,56.27,,,,,,,,0.590411267063111,55.78,1.2099655519743,,16.73
POL,Poland,2020-06,2020-06-01,TOTAL,Total,66.14,25.6,-26.56,69.81,-10.76,11.68,43.27,17.76,21.54,15.88,22.098,7.19,34.54,,,,,,,,,-0.46245863721125,26.56,-0.172604847553498,,
POL,Poland,2020-09,2020-09-01,TOTAL,Total,81.82,17.63,-12.41,48.78,,11.94,38.23,19.82,4.67,2.54,29.714,4.6,36.09,,,95.34,36.87,73.52,40.98,26.74,54.69,-0.215815031258659,12.41,-0.78703484456277,-0.46245863721125,66.14
POL,Poland,2021-02,2021-02-01,TOTAL,Total,81.85,18.15,-14.88,53.21,1.19,13.52,39.86,16.63,5.83,2.04,8.2425,6.95,42.97,6.61,,,,,,,,-0.284169344474504,14.88,-0.804082454107642,-0.215815031258659,81.82
