REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
HRV,Croatia,2021-05,2021-05-01,WB_BPS_SIZE_MI,Size: Micro (0-4),63.95,34.3,-19.99,51.85,6.22,5.81,11.05,12.21,18.6,23.8375,,,,20.12,,,,,,,,,19.99,-0.650656302450153,,
HRV,Croatia,2021-05,2021-05-01,WB_BPS_SIZE_S,Size: Small (5-19),68.42,38.6,-15.35,53.1,1.29,13.16,22.81,9.65,19.3,25.6575,,50.88,19.35,16.67,,,,,,,,0.0267031883060282,15.35,-0.531068684698539,,
IDN,Indonesia,2020-06,2020-06-01,WB_BPS_SIZE_L,Size: Large (100+),5.94,9.24,-29.12,62.37,2.67,14.28,23.09,23.47,16.34,1.485,30.77,93.49,30.16,,,,,,,,,1.84446047320706,29.12,-0.467896105743603,1.84446047320706,5.94
IDN,Indonesia,2020-10,2020-10-01,WB_BPS_SIZE_L,Size: Large (100+),96.88,23.45,-28.09,67.73,10.48,6.35,14.74,27.04,34.23,44.95,12.7,87.56,32.05,,,98.11,54.92,87.78,61.96,48.77,70.308,1.21487469118824,28.09,-0.288647465345907,1.84446047320706,5.94
IDN,Indonesia,2021-03,2021-03-01,WB_BPS_SIZE_L,Size: Large (100+),98.68,,,,,40.2,39.91,,,,36.44,,35.04,,,,,,,,,2.24284384836388,,,1.21487469118824,96.88
IDN,Indonesia,2020-06,2020-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),2.74,24.25,-59.81,88.65,-18.56,37.1,17.16,26.38,41.17,0.58,4.94,79.34,36.58,,,,,,,,,0.725693426525157,59.81,0.409582329928685,0.725693426525157,2.74
IDN,Indonesia,2020-10,2020-10-01,WB_BPS_SIZE_M,Size: Medium (20-99),78.37,54.88,-28.19,71.81,-11.54,6.58,6.28,40.56,48.37,15.122,3.18,80.95,32.95,,,95.99,50.25,79.23,72.16,50.74,69.674,0.848081988756487,28.19,0.109151211348669,0.725693426525157,2.74
IDN,Indonesia,2021-03,2021-03-01,WB_BPS_SIZE_M,Size: Medium (20-99),78.47,,,,,2.75,5.33,,,,12.03,,53.4,,,,,,,,,1.46287024057144,,,0.848081988756487,78.37
IDN,Indonesia,2020-06,2020-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),7.29,,-56.29,89.02,,9.09,6.81,25.16,8.1,1.49666666666667,,,,,,,,,,,,,56.29,-0.100185225810125,,7.29
IDN,Indonesia,2020-10,2020-10-01,WB_BPS_SIZE_MI,Size: Micro (0-4),44.71,30.7,-50.87,84.79,,3.31,,22.89,6.94,8.726,,,,,,93.53,2.89,68.57,34.89,10.41,42.058,,50.87,-0.219034872179629,,7.29
IDN,Indonesia,2021-03,2021-03-01,WB_BPS_SIZE_MI,Size: Micro (0-4),50.92,,,,,0.32,0.83,,,,,,,,,,,,,,,,,,,44.71
IDN,Indonesia,2020-06,2020-06-01,WB_BPS_SIZE_S,Size: Small (5-19),6.69,13.33,-51.25,81.27,-10.94,25.42,21.53,40.18,18.48,1.79666666666667,12.59,67.38,34.43,,,,,,,,,0.786242690184283,51.25,0.0784918321011034,0.786242690184283,6.69
IDN,Indonesia,2020-10,2020-10-01,WB_BPS_SIZE_S,Size: Small (5-19),47.4,45.43,-43.46,80.09,5.58,14.29,15.77,24.87,19.66,10.462,12.78,68.66,40.45,,,92.3,26.12,64.16,39.86,25.19,49.526,0.757270523298965,43.46,-0.00325574128098853,0.786242690184283,6.69
IDN,Indonesia,2021-03,2021-03-01,WB_BPS_SIZE_S,Size: Small (5-19),67.97,,,,,2.2,3.99,,,,3.59,,22.42,,,,,,,,,-0.257106249282991,,,0.757270523298965,47.4
IND,India,2020-06,2020-06-01,WB_BPS_SIZE_L,Size: Large (100+),34.13,46.12,-54.13,89.72,-25.78,53.42,25.11,36.99,47.49,,29.07,,28.6,,,,,,,,,1.54176656031841,54.13,0.862816241254452,1.54176656031841,
IND,India,2021-07,2021-07-01,WB_BPS_SIZE_L,Size: Large (100+),34.13,41.15,-15.06,59.21,4.31,,46.94,,,7.1525,11.61,74.92,22.75,26.18,47.52,,,,,,,0.567156442853213,15.06,0.114387846810434,1.54176656031841,
